NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Gaëtan Laborde,Montpellier HSC,France Ligue 1,ST,Gold,78,84,73,75,76,36,75
Ashley Barnes,Burnley,England Premier League,ST,Gold,78,74,77,66,73,37,68
Jonas Hofmann,Borussia M'gladbach,Germany 1. Bundesliga,CAM,Gold,78,76,46,66,67,78,77
Jean-Philippe Mateta,1. FSV Mainz 05,Germany 1. Bundesliga,ST,Gold,78,64,31,44,60,79,71
Camacho,VfL Wolfsburg,Germany 1. Bundesliga,CDM,Gold,78,76,58,70,86,37,56
Soualiho Meïté,Torino,Italy Serie A,CM,Gold,78,73,68,75,77,74,73
Zouhair Feddal,Real Betis Balompié,Spain Primera Division,CB,Gold,78,68,69,73,73,66,67
Sebastian Rode,Eintracht Frankfurt,Germany 1. Bundesliga,CDM,Gold,78,71,73,78,81,65,73
Karim Rekik,Hertha BSC,Germany 1. Bundesliga,CB,Gold,78,81,76,63,76,41,67
Denis Suárez,RC Celta de Vigo,Spain Primera Division,CM,Gold,78,56,37,52,58,76,77
José Luis Palomino,Atalanta,Italy Serie A,CB,Gold,77,78,71,74,79,72,71
Mario Pašalić,Atalanta,Italy Serie A,CM,Gold,77,73,37,50,52,76,84
Renan Lodi,Atlético de Madrid,Spain Primera Division,LB,Gold,77,81,78,76,80,63,70
Marco van Ginkel,Chelsea,England Premier League,CM,Gold,77,81,59,72,80,72,69
Emerson,Chelsea,England Premier League,LB,Gold,77,69,74,78,75,65,70
Stefano Sensi,Inter,Italy Serie A,CM,Gold,77,71,75,74,79,40,69
Mattia De Sciglio,Piemonte Calcio,Italy Serie A,RB,Gold,77,90,70,72,82,42,67
Christopher Nkunku,RB Leipzig,Germany 1. Bundesliga,CM,Gold,77,84,74,73,79,35,65
Konrad Laimer,RB Leipzig,Germany 1. Bundesliga,CM,Gold,77,81,71,73,76,44,70
Nordi Mukiele,RB Leipzig,Germany 1. Bundesliga,CB,Gold,77,50,52,66,64,77,79
Dayot Upamecano,RB Leipzig,Germany 1. Bundesliga,CB,Gold,77,85,64,68,72,70,77
Aleksandar Dragović,Bayer 04 Leverkusen,Germany 1. Bundesliga,CB,Gold,77,88,76,71,78,29,63
Mitchell Weiser,Bayer 04 Leverkusen,Germany 1. Bundesliga,RB,Gold,77,68,30,54,65,78,73
Loïc Rémy,LOSC Lille,France Ligue 1,ST,Gold,77,80,72,74,82,48,71
Marçal,Olympique Lyonnais,France Ligue 1,LB,Gold,77,67,76,63,73,44,79
Kenny Tete,Olympique Lyonnais,France Ligue 1,RB,Gold,77,63,68,77,75,70,80
Lorenzo Tonelli,Napoli,Italy Serie A,CB,Gold,77,86,68,71,77,71,78
Amin Younes,Napoli,Italy Serie A,LM,Gold,77,63,51,50,62,77,72
Layvin Kurzawa,Paris Saint-Germain,France Ligue 1,LB,Gold,77,65,76,59,75,31,68
Federico Valverde,Real Madrid,Spain Primera Division,CM,Gold,77,94,76,67,79,51,75
Cristiano Piccini,Valencia CF,Spain Primera Division,RB,Gold,77,90,70,69,81,37,66
Rubén Sobrino,Valencia CF,Spain Primera Division,ST,Gold,77,82,70,74,78,64,74
Mouctar Diakhaby,Valencia CF,Spain Primera Division,CB,Gold,77,91,51,69,73,72,82
Nahitan Nández,Cagliari,Italy Serie A,CM,Gold,77,67,79,73,80,27,66
Matías Vargas,RCD Espanyol,Spain Primera Division,LW,Gold,77,77,75,58,75,33,69
Trezeguet,Aston Villa,England Premier League,LW,Gold,77,73,32,56,58,76,78
Jorge Meré,1. FC Köln,Germany 1. Bundesliga,CB,Gold,77,59,66,76,75,71,68
Facundo Ferreyra,RCD Espanyol,Spain Primera Division,ST,Gold,77,49,70,82,76,64,65
Nemanja Gudelj,Sevilla FC,Spain Primera Division,CDM,Gold,77,70,65,75,78,72,66
Danny Drinkwater,Burnley,England Premier League,CM,Gold,77,73,68,75,77,74,73
Marek Suchý,FC Augsburg,Germany 1. Bundesliga,CB,Gold,77,58,39,58,60,79,74
Miguel Veloso,Hellas Verona,Italy Serie A,CM,Gold,77,76,40,64,69,76,80
Lasse Schøne,Genoa,Italy Serie A,CM,Gold,77,76,46,66,67,78,77
Ashley Young,Manchester United,England Premier League,RB,Gold,77,57,56,68,66,77,80
Antonín Barák,Udinese,Italy Serie A,CM,Gold,77,77,74,75,80,69,65
Mauro Arambarri,Getafe CF,Spain Primera Division,CDM,Gold,77,91,74,58,78,39,75
Matthieu Dossevi,Toulouse FC,France Ligue 1,RW,Gold,77,64,31,44,60,79,71
Luiz Felipe,Lazio,Italy Serie A,CB,Gold,77,43,55,77,76,72,69
Yannick Gerhardt,VfL Wolfsburg,Germany 1. Bundesliga,CM,Gold,77,64,77,62,70,38,75
Juraj Kucka,Parma,Italy Serie A,CM,Gold,77,76,58,70,86,37,56
Andrea Poli,Bologna,Italy Serie A,CM,Gold,77,69,67,77,78,40,62
Jonas Martin,Stade Rennais,France Ligue 1,CM,Gold,77,73,74,78,78,66,69
Chris Wood,Burnley,England Premier League,ST,Gold,77,67,65,73,75,75,74
Andrea Petagna,Spal,Italy Serie A,ST,Gold,77,70,63,75,78,66,69
Conor Coady,Wolverhampton Wanderers,England Premier League,CB,Gold,77,59,58,79,76,65,66
Adam Marušić,Lazio,Italy Serie A,RM,Gold,77,67,76,66,72,38,84
Antonio Sanabria,Genoa,Italy Serie A,ST,Gold,77,62,59,74,73,75,74
Kevin Lasagna,Udinese,Italy Serie A,ST,Gold,77,56,60,71,71,75,76
Tomás Rincón,Torino,Italy Serie A,CM,Gold,77,68,67,70,69,75,76
Alessandro Schöpf,FC Schalke 04,Germany 1. Bundesliga,RM,Gold,77,57,33,38,55,79,79
Ashley Westwood,Burnley,England Premier League,CM,Gold,77,72,67,78,78,65,58
Marko Grujić,Hertha BSC,Germany 1. Bundesliga,CDM,Gold,77,66,57,75,75,72,76
Angelo Ogbonna,West Ham United,England Premier League,CB,Gold,77,68,67,77,80,43,61
Romain Saïss,Wolverhampton Wanderers,England Premier League,CDM,Gold,77,72,78,75,77,32,68
Alexander Djiku,RC Strasbourg,France Ligue 1,CB,Gold,77,77,78,64,78,43,69
Juanmi,Real Betis Balompié,Spain Primera Division,LW,Gold,77,84,71,71,81,27,52
Nacho,Real Valladolid,Spain Primera Division,LB,Gold,77,64,71,75,76,72,74
Ramiro Funes Mori,Villarreal CF,Spain Primera Division,CB,Gold,77,80,75,72,81,47,63
Fayçal Fajr,Getafe CF,Spain Primera Division,CM,Gold,77,77,42,68,72,76,76
Ermin Bičakčić,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CB,Gold,77,65,31,52,63,77,78
Yunus Mallı,VfL Wolfsburg,Germany 1. Bundesliga,LM,Gold,77,81,76,63,76,41,67
Davide Calabria,Milan,Italy Serie A,RB,Gold,77,71,77,66,73,36,73
Nabil Bentaleb,FC Schalke 04,Germany 1. Bundesliga,CM,Gold,77,62,70,73,76,67,75
Benjamin Bourigeaud,Stade Rennais,France Ligue 1,LM,Gold,77,53,49,66,58,79,77
Pierre Lees-Melou,OGC Nice,France Ligue 1,CM,Gold,77,79,59,68,78,74,62
Kaan Ayhan,Fortuna Düsseldorf,Germany 1. Bundesliga,CB,Gold,77,76,77,62,76,30,77
Scott McTominay,Manchester United,England Premier League,CDM,Gold,77,72,77,64,75,36,78
Gelson Fernandes,Eintracht Frankfurt,Germany 1. Bundesliga,CDM,Gold,77,78,66,76,79,70,71
Daniel Baier,FC Augsburg,Germany 1. Bundesliga,CDM,Gold,77,63,64,56,63,80,69
Niclas Füllkrug,Werder Bremen,Germany 1. Bundesliga,ST,Gold,77,52,32,55,59,78,80
Kevin Stöger,Fortuna Düsseldorf,Germany 1. Bundesliga,CAM,Gold,77,74,75,75,77,50,63
Andreas Pereira,Manchester United,England Premier League,CM,Gold,77,71,55,77,75,74,72
Jan Bednarek,Southampton,England Premier League,CB,Gold,77,77,75,59,76,39,71
Daryl Janmaat,Watford,England Premier League,RB,Gold,77,56,37,52,58,76,77
Lucas Ocampos,Sevilla FC,Spain Primera Division,LM,Gold,77,62,72,79,73,62,74
Lewis Cook,Bournemouth,England Premier League,CM,Gold,77,82,65,75,82,54,59
Guido Burgstaller,FC Schalke 04,Germany 1. Bundesliga,ST,Gold,77,59,63,72,71,74,74
Pedro Obiang,Sassuolo,Italy Serie A,CDM,Gold,77,48,41,52,51,79,71
Glenn Murray,Brighton & Hove Albion,England Premier League,ST,Gold,77,77,62,74,74,73,79
Sofiane Boufal,Southampton,England Premier League,LM,Gold,77,83,65,73,77,73,73
Morgan Schneiderlin,Everton,England Premier League,CDM,Gold,77,84,70,63,75,38,79
Gonzalo Escalante,SD Eibar,Spain Primera Division,CDM,Gold,77,67,50,68,70,77,80
Sebastian De Maio,Udinese,Italy Serie A,CB,Gold,77,64,64,78,78,68,64
Maxime Lopez,Olympique de Marseille,France Ligue 1,CM,Gold,77,73,74,56,74,29,69
Danny Latza,1. FSV Mainz 05,Germany 1. Bundesliga,CM,Gold,77,32,61,62,58,77,81
Riccardo Saponara,Genoa,Italy Serie A,CAM,Gold,77,78,50,71,73,75,69
Lucas Pérez,Deportivo Alavés,Spain Primera Division,ST,Gold,77,58,52,48,60,79,77
Sergio León,Levante UD,Spain Primera Division,ST,Gold,77,89,76,68,80,31,65
Nathan Redmond,Southampton,England Premier League,LM,Gold,77,71,41,55,63,77,67
Marco Benassi,Fiorentina,Italy Serie A,CM,Gold,77,79,68,72,78,63,66
Pione Sisto,RC Celta de Vigo,Spain Primera Division,LW,Gold,77,59,56,71,67,75,76
Javi García,Real Betis Balompié,Spain Primera Division,CDM,Gold,77,49,66,72,74,72,71
Gary Cahill,Crystal Palace,England Premier League,CB,Gold,77,76,72,75,75,75,69
Cenk Tosun,Everton,England Premier League,ST,Gold,77,67,31,52,54,75,83
Davy Pröpper,Brighton & Hove Albion,England Premier League,CM,Gold,77,76,75,76,78,74,78
Tobias Strobl,Borussia M'gladbach,Germany 1. Bundesliga,CDM,Gold,77,71,67,78,80,64,66
Sergi Guardiola,Real Valladolid,Spain Primera Division,ST,Gold,77,50,45,52,48,80,76
Enes Ünal,Real Valladolid,Spain Primera Division,ST,Gold,77,55,63,77,74,75,66
Rômulo,Brescia,Italy Serie A,RM,Gold,77,75,46,69,75,77,72
Pierre-Emile Højbjerg,Southampton,England Premier League,CM,Gold,77,68,69,73,73,66,67
Roger,Levante UD,Spain Primera Division,ST,Gold,77,69,75,73,80,55,62
Philipp Max,FC Augsburg,Germany 1. Bundesliga,LB,Gold,77,60,40,62,65,76,73
Vlad Chiricheș,Sassuolo,Italy Serie A,CB,Gold,77,69,75,69,77,38,68
Aritz Elustondo,Real Sociedad,Spain Primera Division,CB,Gold,77,83,71,71,81,64,70
Brais Méndez,RC Celta de Vigo,Spain Primera Division,RM,Gold,77,76,36,59,62,75,80
Marvin Plattenhardt,Hertha BSC,Germany 1. Bundesliga,LB,Gold,77,88,68,72,82,71,73
Giovanni Simeone,Cagliari,Italy Serie A,ST,Gold,77,83,74,63,78,40,75
Fabian Delph,Everton,England Premier League,LB,Gold,77,79,79,60,71,36,77
Jonjo Shelvey,Newcastle United,England Premier League,CM,Gold,77,79,79,60,71,36,77
Leonardo Bittencourt,Werder Bremen,Germany 1. Bundesliga,CAM,Gold,77,74,68,73,71,78,80
Robin Knoche,VfL Wolfsburg,Germany 1. Bundesliga,CB,Gold,77,70,53,66,68,75,75
Djibril Sidibé,Everton,England Premier League,RB,Gold,77,79,65,72,74,72,77
Dominic Calvert-Lewin,Everton,England Premier League,ST,Gold,77,75,69,74,82,57,51
Will Hughes,Watford,England Premier League,RM,Gold,77,79,70,73,76,71,77
Patrick Cutrone,Wolverhampton Wanderers,England Premier League,ST,Gold,77,65,44,62,69,76,73
Vedad Ibišević,Hertha BSC,Germany 1. Bundesliga,ST,Gold,77,92,65,68,84,50,51
Iván Ramis,SD Eibar,Spain Primera Division,CB,Gold,77,74,74,57,69,31,68
Reguilón,Sevilla FC,Spain Primera Division,LB,Gold,77,69,50,68,65,74,78
Pablo,Girondins de Bordeaux,France Ligue 1,CB,Gold,77,74,48,67,66,76,76
Jordan Lukaku,Lazio,Italy Serie A,LM,Gold,77,75,75,63,74,51,78
M'Baye Niang,Stade Rennais,France Ligue 1,ST,Gold,77,60,64,68,70,74,85
Vallejo,Wolverhampton Wanderers,England Premier League,CB,Gold,77,82,68,70,82,26,55
Alex Berenguer,Torino,Italy Serie A,LM,Gold,77,82,74,68,83,28,61
Arbilla,SD Eibar,Spain Primera Division,CB,Gold,77,76,48,67,73,73,75
Tomás Pina,Deportivo Alavés,Spain Primera Division,CM,Gold,77,73,70,74,76,65,69
Ibrahima Traoré,Borussia M'gladbach,Germany 1. Bundesliga,RM,Gold,77,71,73,70,80,36,64
Omar Colley,Sampdoria,Italy Serie A,CB,Gold,77,82,76,73,75,34,64
Wylan Cyprien,OGC Nice,France Ligue 1,CM,Gold,77,88,76,69,75,36,72
Lucas Castro,Cagliari,Italy Serie A,CM,Gold,77,74,64,74,79,55,55
Ihlas Bebou,TSG 1899 Hoffenheim,Germany 1. Bundesliga,RW,Gold,77,67,64,72,69,72,78
Neven Subotić,1. FC Union Berlin,Germany 1. Bundesliga,CB,Gold,77,68,52,54,64,74,77
Victor Sánchez,RCD Espanyol,Spain Primera Division,CM,Gold,77,76,71,68,77,37,71
Ondrej Duda,Hertha BSC,Germany 1. Bundesliga,CAM,Gold,77,77,60,70,72,72,80
Diego Llorente,Real Sociedad,Spain Primera Division,CB,Gold,77,61,42,53,51,74,79
Borja Mayoral,Levante UD,Spain Primera Division,ST,Gold,77,72,71,75,79,27,49
David Brooks,Bournemouth,England Premier League,RM,Gold,77,90,74,69,77,45,60
Córdoba,Athletic Club de Bilbao,Spain Primera Division,LW,Gold,77,78,75,63,74,50,78
John Lundstram,Sheffield United,England Premier League,CM,Gold,76,71,75,75,74,56,62
Timothy Castagne,Atalanta,Italy Serie A,LM,Gold,76,82,73,71,79,42,67
Robin Gosens,Atalanta,Italy Serie A,LM,Gold,76,70,53,66,68,75,75
Aleñá,FC Barcelona,Spain Primera Division,CM,Gold,76,80,74,65,76,33,63
Marcel Schmelzer,Borussia Dortmund,Germany 1. Bundesliga,LB,Gold,76,91,73,64,79,29,72
Ademola Lookman,RB Leipzig,Germany 1. Bundesliga,RM,Gold,76,54,55,58,63,73,84
Tyler Adams,RB Leipzig,Germany 1. Bundesliga,CDM,Gold,76,40,51,65,68,76,80
Amadou Haidara,RB Leipzig,Germany 1. Bundesliga,CM,Gold,76,75,71,73,75,69,70
Patrik Schick,RB Leipzig,Germany 1. Bundesliga,ST,Gold,76,75,80,61,74,29,65
Mehmet Zeki Çelik,LOSC Lille,France Ligue 1,RB,Gold,76,88,59,70,74,71,81
Xeka,LOSC Lille,France Ligue 1,CDM,Gold,76,77,68,76,78,62,67
Martin Terrier,Olympique Lyonnais,France Ligue 1,LW,Gold,76,54,32,40,44,76,85
Maxwel Cornet,Olympique Lyonnais,France Ligue 1,RW,Gold,76,92,65,68,84,50,51
Phil Foden,Manchester City,England Premier League,CAM,Gold,76,83,72,71,78,44,48
Eric Maxim Choupo-Moting,Paris Saint-Germain,France Ligue 1,ST,Gold,76,81,67,71,80,46,61
Rodrygo,Real Madrid,Spain Primera Division,LW,Gold,76,85,71,73,78,72,80
Eliaquim Mangala,Valencia CF,Spain Primera Division,CB,Gold,76,87,75,67,74,39,74
Kangin Lee,Valencia CF,Spain Primera Division,CAM,Gold,76,65,29,61,59,76,79
Samuel Chukwueze,Villarreal CF,Spain Primera Division,RM,Gold,76,68,52,54,64,74,77
Filip Benković,Leicester City,England Premier League,CB,Gold,76,75,69,78,76,56,69
Arnaut Danjuma Groene...,Bournemouth,England Premier League,LM,Gold,76,60,44,61,57,75,76
Xaver Schlager,VfL Wolfsburg,Germany 1. Bundesliga,CM,Gold,76,63,72,74,71,71,77
Edu Expósito,SD Eibar,Spain Primera Division,CM,Gold,76,80,66,71,76,75,72
Kasper Dolberg,OGC Nice,France Ligue 1,ST,Gold,76,70,68,77,77,61,55
Kieran Tierney,Arsenal,England Premier League,LB,Gold,76,63,64,77,75,67,69
Marvelous Nakamba,Aston Villa,England Premier League,CDM,Gold,76,85,71,70,78,29,58
Manuel Locatelli,Sassuolo,Italy Serie A,CDM,Gold,76,57,75,72,77,28,72
Björn Engels,Aston Villa,England Premier League,CB,Gold,76,84,77,73,80,37,55
Jhon Córdoba,1. FC Köln,Germany 1. Bundesliga,ST,Gold,76,52,40,47,46,76,78
Stefano Denswil,Bologna,Italy Serie A,CB,Gold,76,70,72,75,78,45,60
Dwight Gayle,Newcastle United,England Premier League,ST,Gold,76,50,77,75,73,41,73
Ravel Morrison,Sheffield United,England Premier League,CAM,Gold,76,84,73,73,79,33,51
Marco Höger,1. FC Köln,Germany 1. Bundesliga,CDM,Gold,76,73,74,73,76,45,73
Dedryck Boyata,Hertha BSC,Germany 1. Bundesliga,CB,Gold,76,84,69,71,75,72,76
Mato Jajalo,Udinese,Italy Serie A,CM,Gold,76,44,59,70,68,77,72
Simon Terodde,1. FC Köln,Germany 1. Bundesliga,ST,Gold,76,55,45,44,51,77,75
Winston Reid,West Ham United,England Premier League,CB,Gold,76,56,70,74,75,68,65
Jay Rodriguez,Burnley,England Premier League,ST,Gold,76,68,41,55,59,76,77
Salvatore Bocchetti,Hellas Verona,Italy Serie A,CB,Gold,76,58,75,59,67,35,75
Dušan Basta,Lazio,Italy Serie A,RB,Gold,76,83,71,71,75,69,73
Soldado,Granada CF,Spain Primera Division,ST,Gold,76,84,64,74,76,71,68
Dennis Praet,Leicester City,England Premier League,CM,Gold,76,72,75,72,74,40,67
Michael Lang,Werder Bremen,Germany 1. Bundesliga,RB,Gold,76,60,48,60,56,75,79
Jean-Kévin Augustin,AS Monaco,France Ligue 1,ST,Gold,76,51,28,44,56,76,79
Óscar Duarte,Levante UD,Spain Primera Division,CB,Gold,76,36,29,55,64,76,78
Dale Stephens,Brighton & Hove Albion,England Premier League,CM,Gold,76,75,58,71,78,73,68
Steven Zuber,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CM,Gold,76,73,70,72,82,49,65
Roberto Rosales,CD Leganés,Spain Primera Division,RB,Gold,76,64,69,75,73,61,62
Otávio,Girondins de Bordeaux,France Ligue 1,CDM,Gold,76,78,69,75,78,62,64
Rubén Duarte,Deportivo Alavés,Spain Primera Division,LB,Gold,76,82,74,68,83,28,61
Rubén Pérez,CD Leganés,Spain Primera Division,CDM,Gold,76,87,68,70,76,72,71
Adrien Thomasson,RC Strasbourg,France Ligue 1,CM,Gold,76,85,72,73,79,41,65
Gianluca Mancini,Roma,Italy Serie A,CB,Gold,76,76,59,75,74,71,72
Fabio Borini,Milan,Italy Serie A,LW,Gold,76,75,71,67,75,39,75
Mexer,Girondins de Bordeaux,France Ligue 1,CB,Gold,76,77,66,70,75,73,70
Rochina,Levante UD,Spain Primera Division,CM,Gold,76,62,46,61,69,77,67
Jimmy Briand,Girondins de Bordeaux,France Ligue 1,ST,Gold,76,67,73,76,78,42,63
Alberto Moreno,Villarreal CF,Spain Primera Division,LB,Gold,76,75,74,54,73,34,74
Kiko Olivas,Real Valladolid,Spain Primera Division,CB,Gold,76,87,70,67,81,46,66
Rodrigo Palacio,Bologna,Italy Serie A,ST,Gold,76,68,44,59,61,76,74
Blerim Džemaili,Bologna,Italy Serie A,CM,Gold,76,60,65,72,73,71,75
Frédéric Guilbert,Aston Villa,England Premier League,RB,Gold,76,73,70,74,76,65,69
David Zurutuza,Real Sociedad,Spain Primera Division,CM,Gold,76,73,51,70,75,75,72
Oriol Romeu,Southampton,England Premier League,CDM,Gold,76,82,65,69,81,36,52
Jack Cork,Burnley,England Premier League,CM,Gold,76,44,63,72,67,76,69
Néstor Araújo,RC Celta de Vigo,Spain Primera Division,CB,Gold,76,75,78,72,78,43,68
Luca Waldschmidt,SC Freiburg,Germany 1. Bundesliga,CF,Gold,76,59,36,60,60,74,79
Pedraza,Real Betis Balompié,Spain Primera Division,LM,Gold,76,80,74,62,77,25,65
Jules Koundé,Sevilla FC,Spain Primera Division,CB,Gold,76,74,64,74,79,55,55
Phil Jagielka,Sheffield United,England Premier League,CB,Gold,76,81,71,70,77,37,69
Dimitrios Siovas,CD Leganés,Spain Primera Division,CB,Gold,76,77,37,67,61,76,79
Fabian Johnson,Borussia M'gladbach,Germany 1. Bundesliga,LM,Gold,76,58,63,73,75,74,73
Bustinza,CD Leganés,Spain Primera Division,CB,Gold,76,75,72,65,78,44,67
Federico Di Francesco,Spal,Italy Serie A,LW,Gold,76,65,45,49,60,78,74
Adrián,CA Osasuna,Spain Primera Division,ST,Gold,76,91,58,69,76,72,71
Toño García,Levante UD,Spain Primera Division,LB,Gold,76,70,51,68,66,76,76
Facundo Roncaglia,CA Osasuna,Spain Primera Division,CB,Gold,76,58,41,64,66,77,74
Cheikhou Kouyaté,Crystal Palace,England Premier League,CDM,Gold,76,68,68,75,76,68,64
Duje Ćaleta-Car,Olympique de Marseille,France Ligue 1,CB,Gold,76,66,73,79,78,54,67
Isaac Hayden,Newcastle United,England Premier League,CDM,Gold,76,81,60,71,81,44,46
Ádám Szalai,TSG 1899 Hoffenheim,Germany 1. Bundesliga,ST,Gold,76,59,69,77,73,69,74
Anthony Briançon,Nîmes Olympique,France Ligue 1,CB,Gold,76,64,55,72,70,75,77
Yunis Abdelhamid,Stade de Reims,France Ligue 1,CB,Gold,76,78,71,75,76,39,63
Kiko Femenía,Watford,England Premier League,RB,Gold,76,79,65,72,74,72,77
Tom Cleverley,Watford,England Premier League,CM,Gold,76,74,48,67,66,76,76
Ludovic Blas,FC Nantes,France Ligue 1,CM,Gold,76,68,64,69,74,76,83
Patrick van Aanholt,Crystal Palace,England Premier League,LB,Gold,76,88,76,69,75,36,72
Renato Steffen,VfL Wolfsburg,Germany 1. Bundesliga,RW,Gold,76,79,64,74,82,52,49
Ludwig Augustinsson,Werder Bremen,Germany 1. Bundesliga,LB,Gold,76,82,56,69,74,73,68
Breel Embolo,Borussia M'gladbach,Germany 1. Bundesliga,ST,Gold,76,64,46,58,67,77,77
Cédric,Southampton,England Premier League,RB,Gold,76,64,44,62,61,75,81
Romain Hamouma,AS Saint-Étienne,France Ligue 1,RM,Gold,76,63,73,74,75,69,73
DeAndre Yedlin,Newcastle United,England Premier League,RWB,Gold,76,66,61,72,74,69,73
Youssef En-Nesyri,CD Leganés,Spain Primera Division,ST,Gold,76,75,74,64,76,32,66
Amath Ndiaye,Getafe CF,Spain Primera Division,LM,Gold,76,65,28,44,50,77,72
Evan N'Dicka,Eintracht Frankfurt,Germany 1. Bundesliga,CB,Gold,76,61,74,77,77,47,71
James McArthur,Crystal Palace,England Premier League,CM,Gold,76,63,35,50,61,76,75
Theodor Gebre Selassie,Werder Bremen,Germany 1. Bundesliga,RB,Gold,76,71,60,71,74,75,69
Josip Brekalo,VfL Wolfsburg,Germany 1. Bundesliga,LW,Gold,76,55,69,76,71,71,73
Iturraspe,RCD Espanyol,Spain Primera Division,CM,Gold,76,61,72,77,77,55,63
Rani Khedira,FC Augsburg,Germany 1. Bundesliga,CB,Gold,76,81,72,72,77,40,58
Dominik Kohr,Eintracht Frankfurt,Germany 1. Bundesliga,CDM,Gold,76,75,69,73,80,34,69
Dominique Heintz,SC Freiburg,Germany 1. Bundesliga,CB,Gold,76,81,72,50,77,30,68
Ignacio Pussetto,Udinese,Italy Serie A,ST,Gold,76,63,32,57,56,77,75
Felix Klaus,VfL Wolfsburg,Germany 1. Bundesliga,RW,Gold,76,74,33,52,60,76,78
Timothée Kolodziejczak,AS Saint-Étienne,France Ligue 1,CB,Gold,76,66,79,71,75,26,64
Rolando Mandragora,Udinese,Italy Serie A,CM,Gold,76,49,65,75,73,71,73
Robbie Brady,Burnley,England Premier League,LM,Gold,76,70,68,75,76,59,69
Federico Fernández,Newcastle United,England Premier League,CB,Gold,76,73,75,71,73,36,73
Yūya Ōsako,Werder Bremen,Germany 1. Bundesliga,CF,Gold,76,91,72,66,79,26,56
Dalbert,Fiorentina,Italy Serie A,LB,Gold,76,71,54,71,74,75,76
Malang Sarr,OGC Nice,France Ligue 1,CB,Gold,76,42,64,72,65,73,72
José Izquierdo,Brighton & Hove Albion,England Premier League,LW,Gold,76,58,75,49,69,27,70
Tony Jantschke,Borussia M'gladbach,Germany 1. Bundesliga,CB,Gold,76,70,46,61,66,77,76
Ivan Radovanović,Genoa,Italy Serie A,CDM,Gold,76,85,66,71,78,72,71
Jonathan De Guzmán,Eintracht Frankfurt,Germany 1. Bundesliga,CM,Gold,76,40,37,57,55,77,73
Ki Sung Yueng,Newcastle United,England Premier League,CM,Gold,76,86,63,72,80,70,70
Aaron Mooy,Brighton & Hove Albion,England Premier League,CM,Gold,76,61,77,68,73,41,74
Ragnar Klavan,Cagliari,Italy Serie A,CB,Gold,76,86,75,62,73,30,72
Thomas Monconduit,Amiens SC,France Ligue 1,CDM,Gold,76,68,64,72,72,74,80
Karol Linetty,Sampdoria,Italy Serie A,CM,Gold,76,41,67,76,73,72,70
Raúl Navas,CA Osasuna,Spain Primera Division,CB,Gold,76,77,61,71,72,73,69
Rob Holding,Arsenal,England Premier League,CB,Gold,76,83,71,71,75,49,76
Toni Villa,Real Valladolid,Spain Primera Division,LM,Gold,76,61,74,60,69,40,81
Oscar Wendt,Borussia M'gladbach,Germany 1. Bundesliga,LB,Gold,76,61,74,60,69,40,81
Nikola Milenković,Fiorentina,Italy Serie A,CB,Gold,76,79,76,69,75,34,64
François Kamano,Girondins de Bordeaux,France Ligue 1,LW,Gold,76,79,76,69,75,34,64
Camarasa,Crystal Palace,England Premier League,CM,Gold,76,73,74,74,78,36,57
Pere Pons,Deportivo Alavés,Spain Primera Division,CM,Gold,76,67,68,71,82,37,61
Danny Ings,Southampton,England Premier League,ST,Gold,76,71,68,74,76,46,53
Robert Snodgrass,West Ham United,England Premier League,RM,Gold,76,84,61,69,76,71,78
Paulo Oliveira,SD Eibar,Spain Primera Division,CB,Gold,76,74,75,72,77,48,70
Gonçalo Paciência,Eintracht Frankfurt,Germany 1. Bundesliga,ST,Gold,76,79,73,69,79,36,44
Adam Smith,Bournemouth,England Premier League,RB,Gold,76,71,42,60,63,74,72
Thomas Mangani,Angers SCO,France Ligue 1,CM,Gold,76,93,67,66,78,47,63
Portillo,Getafe CF,Spain Primera Division,RM,Gold,76,92,71,62,79,39,67
Alexander Szymanowski,CD Leganés,Spain Primera Division,LM,Gold,76,71,40,60,66,74,85
Youssef Aït Bennasser,Girondins de Bordeaux,France Ligue 1,CM,Gold,76,61,60,64,66,73,80
Moise Kean,Everton,England Premier League,ST,Gold,76,70,70,75,77,34,60
Manolo Gabbiadini,Sampdoria,Italy Serie A,ST,Gold,76,51,41,46,40,75,81
Albin Ekdal,Sampdoria,Italy Serie A,CM,Gold,76,90,66,69,75,59,71
Marc Albrighton,Leicester City,England Premier League,RM,Gold,76,32,32,57,59,78,70
Jürgen Locadia,TSG 1899 Hoffenheim,Germany 1. Bundesliga,ST,Gold,76,68,55,65,71,78,70
Benito Raman,FC Schalke 04,Germany 1. Bundesliga,LM,Gold,76,76,55,68,71,74,70
Zubeldia,Real Sociedad,Spain Primera Division,CDM,Gold,76,84,70,76,80,69,67
Charlie Taylor,Burnley,England Premier League,LB,Gold,76,77,67,74,83,41,67
Markel Bergara,Getafe CF,Spain Primera Division,CDM,Gold,76,77,65,72,74,72,72
Roberto Inglese,Parma,Italy Serie A,ST,Gold,76,68,35,59,57,75,71
Per Ciljan Skjelbred,Hertha BSC,Germany 1. Bundesliga,CDM,Gold,76,69,57,68,70,73,74
